Trechos;ATR (mm);N;FN;Espessura total do revestimento (cm);Tempo de solicitação (meses);Região;Temperatura média do ar (grau C)
T1;4,1;1500000;158;6;31;Sul;19,3
T2;1,5;570000;212;4;47;Sudeste;20,2
T3;2,5;1100000;497;10;37;Sul;19,3
T4;5,4;2400000;29;11;25;Nordeste;25,1
T5;0,7;570000;119;4;47;Sudeste;20,2
T6;0,2;240000;1318;10;22;Sul;21,7
T7;6,4;31000000;1487;8;36;Sul;18,9
T8;5,6;29000000;354;15;26;Sul;19,1
T9;1,6;11000000;4410;16;6;Sul;17,8
T10;1,6;17000000;1214;12;14;Sudeste;18,5
T11;2,5;29000000;354;18;26;Sul;19,1
T12;0,6;22000000;315;12;16;Sudeste;18,2